publisher,semester,unit_no,unit_title,sub_no,subunit_title,source_url
翰林,六上,2,分數除法,2-3,異分母分數的除法,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六上,3,小數除法,3-1,除以一位小數,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六上,3,小數除法,3-2,除以二位小數,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六上,3,小數除法,3-3,除法與概數,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六上,4,比與比值,4-1,比和相等的比,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六上,4,比與比值,4-2,最簡整數比,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六上,4,比與比值,4-3,認識比值,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六上,5,兩量關係,5-1,認識基準量與比較量,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六上,5,兩量關係,5-2,兩量和問題,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六上,5,兩量關係,5-3,兩量差問題,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六上,6,圓周長與扇形周長,6-1,圓周率,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六上,6,圓周長與扇形周長,6-2,圓周長,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六上,6,圓周長與扇形周長,6-3,扇形弧長與周長,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六上,7,放大、縮小與比例尺,7-1,認識放大圖與縮小圖,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六上,7,放大、縮小與比例尺,7-2,繪製放大圖與縮小圖,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六上,7,放大、縮小與比例尺,7-3,認識比例尺,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六上,8,怎樣解題,8-1,間隔問題,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六上,8,怎樣解題,8-2,數形規則,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六上,8,怎樣解題,8-3,選擇與組合,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六下,1,小數與分數的四則運算,1-1,小數的四則運算,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六下,1,小數與分數的四則運算,1-2,分數的四則運算,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六下,1,小數與分數的四則運算,1-3,小數與分數的混合運算,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六下,2,圓面積與扇形面積,2-1,圓面積,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六下,2,圓面積與扇形面積,2-2,扇形面積,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六下,2,圓面積與扇形面積,2-3,圓面積與扇形面積的應用,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六下,3,速率,3-1,認識速率,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六下,3,速率,3-2,距離、速率與時間的關係,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六下,3,速率,3-3,秒速、分速、時速的換算,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六下,4,統計圖表,4-1,報讀圓形圖,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六下,4,統計圖表,4-2,繪製圓形圖,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六下,4,統計圖表,4-3,可能性,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六下,5,怎樣解題,5-1,追趕問題,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六下,5,怎樣解題,5-2,年齡問題,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六下,5,怎樣解題,5-3,平均問題,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六下,6,角柱與圓柱,6-1,角柱與圓柱的體積,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六下,6,角柱與圓柱,6-2,柱體體積的應用,https://www.junyiacademy.org/topics/tainan-di-h-m6
翰林,六下,6,角柱與圓柱,6-3,角柱與圓柱的表面積,https://www.junyiacademy.org/topics/tainan-di-h-m6
南一,六上,1,質因數分解和短除法,1-1,質數與合數,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六上,1,質因數分解和短除法,1-2,質因數和質因數分解,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六上,1,質因數分解和短除法,1-3,互質,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六上,2,分數的除法,2-1,最簡分數,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六上,2,分數的除法,2-2,同分母分數的除法,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六上,2,分數的除法,2-3,異分母分數的除法,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六上,3,小數的除法,3-1,整數除以小數,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六上,3,小數的除法,3-2,小數除以小數,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六上,3,小數的除法,3-3,被除數、除數和商的關係,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六上,4,圓周率和圓面積,4-1,認識圓周長和圓周率,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六上,4,圓周率和圓面積,4-2,圓周率的應用,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六上,4,圓周率和圓面積,4-3,圓面積,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六上,5,比和比值,5-1,比,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六上,5,比和比值,5-2,比值,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六上,5,比和比值,5-3,相等的比,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六上,6,扇形的弧長和面積,6-1,扇形的周長和面積,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六上,6,扇形的弧長和面積,6-2,複合圖形的面積,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六上,7,速率,7-1,秒速、分速、時速,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六上,7,速率,7-2,速率單位的換算,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六上,7,速率,7-3,速率的應用,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六上,8,數量關係,8-1,和、差、積、商不變,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六上,8,數量關係,8-2,搭配問題,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六上,8,數量關係,8-3,規律性問題,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六下,1,四則混合運算,1-1,分數四則,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六下,1,四則混合運算,1-2,小數四則,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六下,1,四則混合運算,1-3,數的混合計算,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六下,2,圓形圖,2-1,報讀圓形圖,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六下,2,圓形圖,2-2,繪製圓形圖,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六下,2,圓形圖,2-3,統計圖的應用,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六下,3,基準量和比較量,3-1,基準量和比較量,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六下,3,基準量和比較量,3-2,求兩量的和,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六下,3,基準量和比較量,3-3,求兩量的差,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六下,4,放大圖、縮圖和比例尺,4-1,放大圖和縮圖,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六下,4,放大圖、縮圖和比例尺,4-2,對應點、對應邊和對應角,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六下,4,放大圖、縮圖和比例尺,4-3,繪製放大圖和縮圖,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六下,5,怎樣解題,5-1,搭配問題,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六下,5,怎樣解題,5-2,年齡問題,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六下,5,怎樣解題,5-3,雞兔問題,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六下,6,柱體的體積和表面積,6-1,柱體的體積,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六下,6,柱體的體積和表面積,6-2,複合形體的體積,https://www.junyiacademy.org/topics/tainan-di-n-m6
南一,六下,6,柱體的體積和表面積,6-3,柱體的表面積,https://www.junyiacademy.org/topics/tainan-di-n-m6
