publisher,semester,unit_no,unit_title,source_url,structure_status,school_year_status
均一/DeltaMOOCx,十二甲,1,極限與函數,https://www.junyiacademy.org/topics/deltamoocx-senior-math-12-a,structure_verified,current_public
均一/DeltaMOOCx,十二甲,2,微分,https://www.junyiacademy.org/topics/deltamoocx-senior-math-12-a,structure_verified,current_public
均一/DeltaMOOCx,十二甲,3,積分,https://www.junyiacademy.org/topics/deltamoocx-senior-math-12-a,structure_verified,current_public
均一/DeltaMOOCx,十二甲,4,積分的應用,https://www.junyiacademy.org/topics/deltamoocx-senior-math-12-a,structure_verified,current_public
均一/DeltaMOOCx,十二甲,5,複數,https://www.junyiacademy.org/topics/deltamoocx-senior-math-12-a,structure_verified,current_public
均一/DeltaMOOCx,十二甲,6,二次曲線,https://www.junyiacademy.org/topics/deltamoocx-senior-math-12-a,structure_verified,current_public
均一/DeltaMOOCx,十二甲,7,離散型隨機變數,https://www.junyiacademy.org/topics/deltamoocx-senior-math-12-a,structure_verified,current_public
