publisher,semester,unit_no,unit_title,source_url,structure_status,school_year_status
均一/DeltaMOOCx,十二乙,1,極限與函數,https://www.junyiacademy.org/topics/deltamoocx-senior-math-12-b,structure_verified,current_public
均一/DeltaMOOCx,十二乙,2,微分與導函數,https://www.junyiacademy.org/topics/deltamoocx-senior-math-12-b,structure_verified,current_public
均一/DeltaMOOCx,十二乙,3,積分與積分的應用,https://www.junyiacademy.org/topics/deltamoocx-senior-math-12-b,structure_verified,current_public
均一/DeltaMOOCx,十二乙,4,複數,https://www.junyiacademy.org/topics/deltamoocx-senior-math-12-b,structure_verified,current_public
均一/DeltaMOOCx,十二乙,5,線性規劃,https://www.junyiacademy.org/topics/deltamoocx-senior-math-12-b,structure_verified,current_public
均一/DeltaMOOCx,十二乙,6,離散型隨機變數,https://www.junyiacademy.org/topics/deltamoocx-senior-math-12-b,structure_verified,current_public
